,Symbol,Date,High,Low,Open,Close,Volume
1789,JNJ,2013-01-25,73.93,73.06,73.13,73.92,10421500
1790,JNJ,2013-01-28,74.00,73.43,73.96,73.62,9420900
1791,JNJ,2013-01-29,74.62,73.64,73.67,74.41,12386500
1792,JNJ,2013-01-30,74.80,74.01,74.45,74.09,9245500
1793,JNJ,2013-01-31,74.36,73.78,74.08,73.92,10448700
1794,JNJ,2013-02-01,74.42,74.08,74.14,74.18,10016300
1795,JNJ,2013-02-04,74.25,73.56,73.56,74.11,9200700
1796,JNJ,2013-02-05,74.82,74.47,74.49,74.66,10230800
1797,JNJ,2013-02-06,75.39,74.52,74.57,75.39,12084000
1798,JNJ,2013-02-07,75.20,74.68,74.82,75.06,9798200
1799,JNJ,2013-02-08,75.61,74.73,75.17,75.48,8153300
1800,JNJ,2013-02-11,75.50,75.05,75.28,75.41,5697100
1801,JNJ,2013-02-12,75.86,75.42,75.42,75.80,7598900
1802,JNJ,2013-02-13,75.87,75.37,75.79,75.66,8014800
1803,JNJ,2013-02-14,76.09,75.38,75.50,75.81,9681800
1804,JNJ,2013-02-15,76.16,75.51,75.72,76.16,10528400
1805,JNJ,2013-02-19,77.00,75.96,76.03,76.96,9747400
1806,JNJ,2013-02-20,76.97,76.54,76.79,76.65,7857500
1807,JNJ,2013-02-21,77.02,76.38,76.47,76.87,9465700
1808,JNJ,2013-02-22,76.49,75.97,76.39,76.25,8571500
1809,JNJ,2013-02-25,76.66,75.57,76.47,75.57,10603300
1810,JNJ,2013-02-26,76.34,75.50,75.88,75.75,10742100
1811,JNJ,2013-02-27,76.45,75.60,75.68,76.32,8180300
1812,JNJ,2013-02-28,76.49,76.11,76.23,76.11,11806300
1813,JNJ,2013-03-01,76.77,75.73,75.79,76.70,9528300
1814,JNJ,2013-03-04,77.28,76.73,76.73,77.20,12628000
1815,JNJ,2013-03-05,77.71,77.44,77.56,77.66,9399400
1816,JNJ,2013-03-06,77.74,77.22,77.69,77.39,8535200
